"DOI","Name","usage_count","semanticnet_scale","n_items","match_type","safe"
"10.1037/t44872-000","self-concept clarity scale--chinese version","4","self concept clarity","12","core_exact","TRUE"
"10.1037/t71204-000","students' life satisfaction scale--chinese version","4","students life satisfaction","7","core_exact","TRUE"
"10.1037/t49172-000","dutch workaholism scale--italian version","4","workaholism","6","core_exact","TRUE"
"10.1037/t72264-000","young child ptsd screen","4","young child ptsd screen","6","exact","TRUE"
"10.1037/t06232-000","alienation test","3","alienation","20","core_exact","TRUE"
"10.1037/t65708-000","body odor disgust scale","3","body odor disgust","12","core_exact","TRUE"
"10.1037/t46344-000","critical processing of beauty images scale","3","critical processing of beauty images","22","core_exact","TRUE"
"10.1037/t68244-000","distress tolerance scale--spanish version","3","distress tolerance","16","core_exact","TRUE"
"10.1037/t56874-000","driving anger scale--short version","3","driving anger","14","core_exact","TRUE"
"10.1037/t43537-000","fanship scale","3","fanship","11","core_exact","TRUE"
"10.1037/t51987-000","flexibility index test-60","3","flexibility","10","core_exact","TRUE"
"10.1037/t76484-000","gun attitude scale","3","gun attitude","20","core_exact","TRUE"
"10.1037/t69559-000","hare psychopathy checklist--revised; german version","3","hare psychopathy","20","core_exact","TRUE"
"10.1037/t71834-000","memorial symptom assessment scale--modified version","3","memorial symptom","32","core_exact","TRUE"
"10.1037/t35877-000","narcissistic personality inventory for chinese","3","narcissistic personality","70","core_exact","TRUE"
"10.1037/t57874-000","perceived parental acculturation behaviors scale","3","perceived parental acculturation behaviors","20","core_exact","TRUE"
"10.1037/t71752-000","self-curiosity attitude-interest scale","3","self curiosity attitude interest","7","core_exact","TRUE"
"10.1037/t55317-000","self-regulation scale--chinese version","3","self regulation assessment","24","core_exact","TRUE"
"10.1037/t14191-000","sensation seeking scale--chinese version","3","sensation seeking","34","core_exact","TRUE"
"10.1037/t08614-000","chinese sex-role inventory","3","sex role","43","core_exact","TRUE"
"10.1037/t72739-000","signs of depression scale","3","signs of depression","6","core_exact","TRUE"
"10.1037/t72386-000","student-teacher relationship scale--italian version","3","student teacher relationship","34","core_exact","TRUE"
"10.1037/t44849-000","trauma symptom checklist for children--chinese version","3","trauma symptom children","54","fuzzy","TRUE"
"10.1037/t43933-000","trusting relationship questionnaire--child version","3","trusting relationship","18","core_exact","TRUE"
"10.1037/t78859-000","vancouver index of acculturation--arabic version","3","vancouver acculturation","20","fuzzy","TRUE"
"10.1037/t61710-000","adult hope scale--hungarian version","2","adult hope","12","core_exact","TRUE"
"10.1037/t75651-000","adult separation anxiety questionnaire--turkish version","2","adult separation anxiety","27","core_exact","TRUE"
"10.1037/t45959-000","attitudes towards research scale","2","attitude towards research","20","fuzzy","TRUE"
"10.1037/t45936-000","barratt impulsiveness scale--brazilian version","2","barratt impulsiveness","30","core_exact","TRUE"
"10.1037/t57096-000","body esteem scale--polish version","2","body esteem","28","core_exact","TRUE"
"10.1037/t47878-000","child sexual abuse attitude and belief scale","2","child sexual abuse attitude and belief","36","core_exact","TRUE"
"10.1037/t74856-000","cognitive failures questionnaire--brazilian version","2","cognitive failures","35","core_exact","TRUE"
"10.1037/t15384-000","concerns survey","2","concerns","9","core_exact","TRUE"
"10.1037/t44406-000","conscientiousness index","2","conscientiousness","10","core_exact","TRUE"
"10.1037/t41457-000","brief fear of negative evaluation scale-chinese version","2","fear of negative evaluation","12","core_exact","TRUE"
"10.1037/t41457-000","brief fear of negative evaluation scale-chinese version","2","fear of negative evaluation fne","30","fuzzy","TRUE"
"10.1037/t51312-000","general procrastination scale--greek version","2","general procrastination","20","core_exact","TRUE"
"10.1037/t30690-000","homophobia scale--reduced version","2","homophobia","25","core_exact","TRUE"
"10.1037/t37433-000","melbourne decision making questionnaire--swedish version","2","melbourne decision making","23","core_exact","TRUE"
"10.1037/t59954-000","mood disorder questionnaire--thai version","2","mood disorder","23","core_exact","TRUE"
"10.1037/t82731-000","narcissistic admiration and rivalry questionnaire--spanish version","2","narcissistic admiration and rivalry","18","core_exact","TRUE"
"10.1037/t38174-000","nicotine dependence syndrome scale--spanish version","2","nicotine dependence syndrome","30","core_exact","TRUE"
"10.1037/t80845-000","somatic complaints questionnaire","2","no somatic complaints","6","fuzzy","TRUE"
"10.1037/t53290-000","occupational self-efficacy scale--short form; brazilian version","2","occupational self efficacy","20","core_exact","TRUE"
"10.1037/t50768-000","parent cognition scale--german version","2","parent cognition scale measure","30","core_exact","TRUE"
"10.1037/t74330-000","scale of positive and negative experience--serbian version","2","positive and negative experience","12","fuzzy","TRUE"
"10.1037/t55670-000","posttraumatic cognitions inventory--spanish version","2","posttraumatic cognitions","33","core_exact","TRUE"
"10.1037/t72593-000","prestige measure","2","prestige","8","core_exact","TRUE"
"10.1037/t81902-000","regret experience measure","2","regret","5","core_exact","TRUE"
"10.1037/t60444-000","relational-interdependent self-construal scale for children","2","relational interdependent self construal","11","core_exact","TRUE"
"10.1037/t46022-000","self-compassion scale--greek version","2","self compassion","12","core_exact","TRUE"
"10.1037/t49524-000","social phobia inventory--spanish version","2","social phobia","39","core_exact","TRUE"
"10.1037/t59757-000","spiritual well-being scale--korean version","2","spiritual well being","12","core_exact","TRUE"
"10.1037/t62406-000","suicidal ideation questionnaire--french version","2","suicidal ideation","19","core_exact","TRUE"
"10.1037/t71256-000","ten item personality inventory--revised version","2","ten item personality","10","core_exact","TRUE"
"10.1037/t30045-000","transgression-related interpersonal motivations inventory--revised","2","transgression related interpersonal motivations","18","core_exact","TRUE"
"10.1037/t44617-000","trauma screening questionnaire--malay version","2","trauma screening","10","core_exact","TRUE"
"10.1037/t37906-000","value orientation scales","2","value orientation","36","core_exact","TRUE"
"10.1037/t73755-000","writing apprehension scale","2","writing apprehension","20","core_exact","TRUE"
"10.1037/t80188-000","acceptance of cosmetic surgery scale--chinese version","1","acceptance of cosmetic surgery","15","core_exact","TRUE"
"10.1037/t35219-000","ambiguity tolerance scale--20-item version","1","ambiguity tolerance","21","core_exact","TRUE"
"10.1037/t85705-000","anger cognitions scale--revised; italian version","1","anger cognitions","27","core_exact","TRUE"
"10.1037/t72165-000","anxiety control questionnaire for children--dutch version","1","anxiety control children","30","fuzzy","TRUE"
"10.1037/t70737-000","attitude towards persons with intellectual disability scale","1","attitude towards persons with intellectual disability cp","6","fuzzy","TRUE"
"10.1037/t70737-000","attitude towards persons with intellectual disability scale","1","attitude towards persons with intellectual disability pr","4","fuzzy","TRUE"
"10.1037/t70737-000","attitude towards persons with intellectual disability scale","1","attitude towards persons with intellectual disability sl","11","fuzzy","TRUE"
"10.1037/t49931-000","attractiveness questionnaire","1","attractiveness","10","core_exact","TRUE"
"10.1037/t41564-000","beliefs and attitudes toward hysterectomy questionnaire","1","bath","1","exact","FALSE"
