"DOI","Name","semanticnet_scale","n_items","usage_count","in_targets156","match_type"
"10.1037/t05515-000","toronto mindfulness scale","toronto mindfulness","15","191","FALSE","core_exact"
"10.1037/t05729-000","intellectual achievement responsibility scale","intellectual achievement responsibility","104","4","FALSE","core_exact"
"10.1037/t05811-000","computer anxiety scale--short form","computer anxiety","19","0","FALSE","core_exact"
"10.1037/t05973-000","sex role survey","sex role","43","0","FALSE","core_exact"
"10.1037/t06051-000","revised generalized expectancy for success scale","generalized expectancy for success","31","1","FALSE","core_exact"
"10.1037/t06078-000","fear of crime measure","fear of crime","4","0","FALSE","core_exact"
"10.1037/t06160-000","self-report altruism scale","self-report altruism","20","122","FALSE","core_exact"
"10.1037/t06617-000","cohen-hoberman inventory of physical symptoms","cohen-hoberman physical symptoms","33","81","FALSE","fuzzy"
"10.1037/t06631-000","trauma symptom checklist for children","trauma symptom children","54","500","TRUE","fuzzy"
"10.1037/t06852-000","emotional empathy questionnaire","emotional empathy","33","12","FALSE","core_exact"
"10.1037/t06960-000","self-esteem scale","self esteem","13","0","FALSE","core_exact"
"10.1037/t07010-000","homophobia scale","homophobia","25","0","FALSE","core_exact"
"10.1037/t07225-000","survey of recent life experiences","recent life experiences","41","0","FALSE","fuzzy"
"10.1037/t07456-000","support for lesbian and gay human rights scale","support for lesbian and gay human rights","25","7","FALSE","core_exact"
"10.1037/t07688-000","risk taking index","risk taking","5","0","FALSE","core_exact"
"10.1037/t07728-000","body esteem scale","body esteem","28","0","FALSE","core_exact"
"10.1037/t07809-000","social physique anxiety scale","social physique anxiety","12","185","FALSE","core_exact"
"10.1037/t07937-000","religious support scale","religious support","21","35","FALSE","core_exact"
"10.1037/t07987-000","emotional contagion scale","emotional contagion","14","92","FALSE","core_exact"
"10.1037/t08453-000","eating behavior rating scale","eating behavior","11","1","FALSE","core_exact"
"10.1037/t08473-000","masculine and feminine self-disklosure scale","masculine and feminine self-disclosure","41","0","FALSE","fuzzy"
"10.1037/t08962-000","clinician-administered ptsd scale for children and adolescents","clinician-administered ptsd","30","115","FALSE","core_exact"
"10.1037/t09086-000","perceived stress measure","perceived stress","14","0","FALSE","core_exact"
"10.1037/t09290-000","interaction anxiousness scale","interaction anxiousness","15","88","FALSE","core_exact"
"10.1037/t10199-000","obsessive-compulsive inventory","obsessive-compulsive inventory","42","209","FALSE","exact"
"10.1037/t10703-000","student worry questionnaire-30","student worry","30","1","FALSE","core_exact"
"10.1037/t11289-000","core self-evaluations scale","core self-evaluations","12","224","FALSE","core_exact"
"10.1037/t11783-000","pain catastrophizing scale--significant other version","pain catastrophizing","13","1","FALSE","core_exact"
"10.1037/t12351-000","job satisfaction scale","job satisfaction","8","0","FALSE","core_exact"
"10.1037/t13048-000","symptom-sign inventory","symptom-sign inventory","10","0","FALSE","exact"
"10.1037/t13723-000","sexual experiences questionnaire--department of defense","sexual experiences","18","10","FALSE","core_exact"
"10.1037/t13952-000","sensation seeking scale--form v--revised","sensation seeking","34","0","FALSE","core_exact"
"10.1037/t14461-000","death depression scale","death depression","17","15","FALSE","core_exact"
"10.1037/t14870-000","problem recognition questionnaire--3 factor version","problem recognition","25","0","FALSE","core_exact"
"10.1037/t15085-000","eating inventory","three_factor_eating_questionnaire","18","112","FALSE","exact"
"10.1037/t15230-000","negative body talk scale","negative body talk","13","15","FALSE","core_exact"
"10.1037/t15504-000","body awareness questionnaire","body awareness","18","54","FALSE","core_exact"
"10.1037/t15855-000","subjective happiness scale--modified version","subjective happiness","4","0","FALSE","core_exact"
"10.1037/t16008-000","marital satisfaction measure","marital satisfaction","8","0","FALSE","core_exact"
"10.1037/t16493-000","impression management survey","impression-management","20","0","FALSE","core_exact"
"10.1037/t16889-000","adolescent femininity ideology scale","adolescent femininity ideology","20","14","FALSE","core_exact"
"10.1037/t17011-000","life satisfaction measure","life satisfaction","6","0","FALSE","core_exact"
"10.1037/t17438-000","imagination questionnaire","imagination","10","1","FALSE","core_exact"
"10.1037/t18293-000","cultural estrangement inventory--adapted","cultural estrangement","10","0","FALSE","core_exact"
"10.1037/t19124-000","belief in a just world scale","belief in a just world","6","0","FALSE","core_exact"
"10.1037/t19334-000","hiv stigma scale","hiv stigma","40","223","FALSE","core_exact"
"10.1037/t19585-000","negative affect measure","negative affect","5","0","FALSE","core_exact"
"10.1037/t19754-000","attitudes toward mental illness survey","attitudes towards mental illness","39","0","FALSE","fuzzy"
"10.1037/t19807-000","work motivation measure","work motivation","19","0","FALSE","core_exact"
"10.1037/t20639-000","social support inventory","social support inventory","20","73","FALSE","exact"
"10.1037/t20693-000","sexual abuse questionnaire","sexual abuse","7","24","FALSE","core_exact"
"10.1037/t20915-000","cognitive-somatic anxiety questionnaire","cognitive-somatic anxiety","14","23","FALSE","core_exact"
"10.1037/t26640-000","seasonal pattern assessment questionnaire","seasonal pattern","21","218","FALSE","core_exact"
"10.1037/t26693-000","culture questionnaire--measure of individual perceptions and conceptions","culture","10","0","FALSE","core_exact"
"10.1037/t28680-000","decision regret scale","decision regret","5","59","FALSE","core_exact"
"10.1037/t30045-000","transgression-related interpersonal motivations inventory--revised","transgression-related interpersonal motivations","18","2","FALSE","core_exact"
"10.1037/t30328-000","arizona sexual experience scale","arizona sexual experiences","5","176","FALSE","fuzzy"
"10.1037/t31524-000","drug use questionnaire","drug use","30","97","FALSE","core_exact"
"10.1037/t32628-000","delinquent activities scale","delinquent activities","40","8","FALSE","core_exact"
"10.1037/t35219-000","ambiguity tolerance scale--20-item version","ambiguity tolerance","21","1","FALSE","core_exact"
"10.1037/t35957-000","glasgow content of thoughts inventory","glasgow content of thoughts","25","10","FALSE","core_exact"
"10.1037/t37301-000","parental beliefs about anxiety questionnaire","parental beliefs about anxiety","17","8","FALSE","core_exact"
"10.1037/t37319-000","caregiver quality of life index--cancer","caregiver quality of life cancer","35","39","FALSE","core_exact"
"10.1037/t38170-000","penn state worry questionnaire--argentinean version","penn state worry","16","0","FALSE","core_exact"
"10.1037/t38201-000","sexual coercion inventory--revised","sexual coercion","14","0","FALSE","core_exact"
"10.1037/t39633-000","trauma screening questionnaire--adapted version","trauma screening","10","0","FALSE","core_exact"
"10.1037/t39705-000","male role attitudes scale","male role attitudes","8","34","FALSE","core_exact"
"10.1037/t41179-000","flexibility measure","flexibility","10","0","FALSE","core_exact"
"10.1037/t41381-000","communication competence scale","communication competence","12","0","FALSE","core_exact"
"10.1037/t41758-000","pittsburgh sleep quality index-short version","pittsburgh sleep quality","12","1","FALSE","core_exact"
"10.1037/t41854-000","reading rating form","reading","11","1","FALSE","core_exact"
"10.1037/t41950-000","anger measure","anger","10","0","FALSE","core_exact"
"10.1037/t43537-000","fanship scale","fanship","11","3","FALSE","core_exact"
"10.1037/t43699-000","responses to stress questionnaire--cancer version","responses to stress","59","3","FALSE","core_exact"
"10.1037/t43933-000","trusting relationship questionnaire--child version","trusting relationship","18","3","FALSE","core_exact"
"10.1037/t44215-000","civic participation scale","civic participation","5","14","FALSE","core_exact"
"10.1037/t44366-000","inventory of parent and peer attachment-45","parent and peer attachment","53","1","FALSE","fuzzy"
"10.1037/t44406-000","conscientiousness index","conscientiousness","10","2","FALSE","core_exact"
"10.1037/t45462-000","allophilia measure","allophilia","17","0","FALSE","core_exact"
"10.1037/t46030-000","professional self identity questionnaire","professional self identity","9","1","FALSE","core_exact"
"10.1037/t46293-000","collective self-esteem scales--modified","collective self-esteem","16","2","FALSE","core_exact"
"10.1037/t46344-000","critical processing of beauty images scale","critical processing of beauty images","22","3","FALSE","core_exact"
"10.1037/t46512-000","caregiver burden scale-15","caregiver burden","15","2","FALSE","core_exact"
"10.1037/t46783-000","appraisal of diabetes scale","appraisal of diabetes","7","10","FALSE","core_exact"
"10.1037/t47107-000","employment hope scale","employment hope","13","7","FALSE","core_exact"
"10.1037/t47108-000","future time perspective scale-short form","future_time_perspective_survey","10","1","FALSE","core_exact"
"10.1037/t47878-000","child sexual abuse attitude and belief scale","child sexual abuse attitude and belief","36","2","FALSE","core_exact"
"10.1037/t48846-000","forgiveness scale","forgiveness","13","0","FALSE","core_exact"
"10.1037/t49227-000","alabama parenting questionnaire--extended","alabama parenting s","9","0","FALSE","fuzzy"
"10.1037/t49550-000","connor-davidson resilience scale--modified","connor-davidson resilience","25","3","FALSE","core_exact"
"10.1037/t49653-000","cognitive and affective mindfulness scale--revised","cognitive and affective mindfulness","12","181","FALSE","core_exact"
"10.1037/t50164-000","symbolic racism 2000 scale","symbolic racism 2000","7","30","FALSE","core_exact"
"10.1037/t51145-000","satisfaction with life scale--adapted","satisfaction with life","5","2","FALSE","core_exact"
"10.1037/t51552-000","revised meaning in life questionnaire","meaning in life","10","0","FALSE","core_exact"
"10.1037/t51781-000","penn alcohol craving scale","penn alcohol craving","5","241","FALSE","core_exact"
"10.1037/t52041-000","emotion regulation questionnaire-modified","emotion_regulation_questionnaire","10","1","FALSE","exact"
"10.1037/t54317-000","social provisions scale--adapted","social provisions","24","0","FALSE","core_exact"
"10.1037/t54382-000","flow state scale","flow state","36","93","FALSE","core_exact"
"10.1037/t55513-000","self-regulation scale","self-regulation assessment","24","0","FALSE","core_exact"
"10.1037/t56444-000","depression-happiness scale","depression-happiness","25","28","FALSE","core_exact"
"10.1037/t56874-000","driving anger scale--short version","driving anger","14","3","FALSE","core_exact"
"10.1037/t57053-000","parental health beliefs survey","parental health belief","30","1","FALSE","fuzzy"
"10.1037/t57744-000","self-regulated practice behavior scale","self-regulated practice behavior","38","1","FALSE","core_exact"
"10.1037/t57874-000","perceived parental acculturation behaviors scale","perceived parental acculturation behaviors","20","3","FALSE","core_exact"
"10.1037/t58163-000","mastery scale--revised","mastery","6","1","FALSE","core_exact"
"10.1037/t58824-000","fatalism questionnaire","fatalism","24","0","FALSE","core_exact"
"10.1037/t58830-000","community attitudes toward sex offenders--modified version","community attitudes toward sex offenders","20","1","FALSE","exact"
"10.1037/t58894-000","responsibility scale for children","responsibility","10","0","FALSE","core_exact"
"10.1037/t59143-000","hopelessness depression symptom questionnaire","hopelessness depression symptom","32","39","FALSE","core_exact"
"10.1037/t59262-000","environmental concern scale","environmental concern","5","0","FALSE","core_exact"
"10.1037/t60444-000","relational-interdependent self-construal scale for children","relational-interdependent self-construal","11","2","FALSE","core_exact"
"10.1037/t60955-000","gratitude resentment and appreciation test","gratitude resentment appreciation","44","26","FALSE","fuzzy"
"10.1037/t61286-000","positive affect index","positive affect","5","57","FALSE","core_exact"
"10.1037/t62453-000","social isolation inventory","social isolation","12","0","FALSE","core_exact"
"10.1037/t62654-000","clinically useful depression outcome scale","clinically useful depression outcome","18","43","FALSE","core_exact"
"10.1037/t62704-000","internal state scale","internal state","17","96","FALSE","core_exact"
"10.1037/t62737-000","life events checklist--kurdish version","life events checklist","17","1","FALSE","exact"
"10.1037/t63102-000","creativity scale","creativity","31","0","FALSE","core_exact"
"10.1037/t64086-000","voices acceptance and action scale","voices acceptance and action","31","21","FALSE","core_exact"
"10.1037/t64291-000","santa clara brief compassion scale","santa clara brief compassion","5","46","FALSE","core_exact"
"10.1037/t64727-000","silver lining questionnaire for couples","silver lining","38","1","FALSE","core_exact"
"10.1037/t64815-000","systemizing quotient--adult","systemizing quotient","75","46","FALSE","exact"
"10.1037/t65708-000","body odor disgust scale","body odor disgust","12","3","FALSE","core_exact"
"10.1037/t65978-000","customer inspiration scale","customer inspiration","10","1","FALSE","core_exact"
"10.1037/t66296-000","reactive-proactive aggression questionnaire","reactive-proactive aggression","22","246","FALSE","core_exact"
"10.1037/t66392-000","mate retention inventory","mate retention","104","26","FALSE","core_exact"
"10.1037/t66413-000","individualized trust scale","individualized trust","15","16","FALSE","core_exact"
"10.1037/t67079-000","early memories of warmth and safeness scale","early memories of warmth and safeness","21","19","FALSE","core_exact"
"10.1037/t67968-000","affectometer 2","affectometer","40","24","FALSE","exact"
"10.1037/t68611-000","leader-member social exchange scale","leader member social exchange","8","4","FALSE","core_exact"
"10.1037/t68816-000","social sexual awareness scale","social sexual awareness","30","1","FALSE","core_exact"
"10.1037/t69013-000","consumers' need for uniqueness scale","consumers need for uniqueness","31","19","FALSE","core_exact"
"10.1037/t69217-000","cancer treatment survey","cancer treatment","29","0","FALSE","core_exact"
"10.1037/t69946-000","fear of loss of vigilance questionnaire","fear of loss of vigilance","14","6","FALSE","core_exact"
"10.1037/t70179-000","yale food addiction scale for children","yale food addiction","25","14","FALSE","core_exact"
"10.1037/t70650-000","social desirability scale-17--revised version","social desirability","20","0","FALSE","core_exact"
"10.1037/t71045-000","patience scale","patience","10","7","FALSE","core_exact"
"10.1037/t71256-000","ten item personality inventory--revised version","ten item personality","10","2","FALSE","core_exact"
"10.1037/t71512-000","pet attitude scale","pet attitude","18","40","FALSE","core_exact"
"10.1037/t71558-000","nurse practitioners satisfaction survey","nurse practitioner satisfaction","28","0","FALSE","fuzzy"
"10.1037/t71752-000","self-curiosity attitude-interest scale","self-curiosity attitude-interest","7","3","FALSE","core_exact"
"10.1037/t71834-000","memorial symptom assessment scale--modified version","memorial symptom","32","3","FALSE","core_exact"
"10.1037/t72264-000","young child ptsd screen","young child ptsd screen","6","4","FALSE","exact"
"10.1037/t72432-000","health behavior measure","health behavior","6","0","FALSE","core_exact"
"10.1037/t72593-000","prestige measure","prestige","8","2","FALSE","core_exact"
"10.1037/t72739-000","signs of depression scale","signs of depression","6","3","FALSE","core_exact"
"10.1037/t73111-000","temporal satisfaction with life scale","temporal satisfaction with life","15","54","FALSE","core_exact"
"10.1037/t73333-000","coparenting relationship scale--modified version","coparenting relationship","35","0","FALSE","core_exact"
"10.1037/t73519-000","compassion scale","compassion","20","0","FALSE","core_exact"
"10.1037/t73560-000","condensed memorial symptom assessment scale","condensed memorial symptom","14","12","FALSE","core_exact"
"10.1037/t73755-000","writing apprehension scale","writing apprehension","20","2","FALSE","core_exact"
"10.1037/t74578-000","dimensional obsessive-compulsive scale--bangla version","dimensional obsessive compulsive scale","18","1","FALSE","exact"
"10.1037/t75098-000","self-harm scale","self harm","7","11","FALSE","core_exact"
"10.1037/t76760-000","mental health questionnaire","mental health","5","61","FALSE","core_exact"
"10.1037/t77067-000","eating disorder examination--avoidant/restrictive food intake disorder module","eating disorder examination","28","0","FALSE","exact"
"10.1037/t79493-000","attachment style interview","attachment style","15","44","FALSE","core_exact"
"10.1037/t79796-000","flourishing scale--malayalam version","flourishing","8","1","FALSE","core_exact"
"10.1037/t80888-000","birchwood insight scale","insight","10","124","FALSE","core_exact"
"10.1037/t81079-000","anger expression scale for children","anger expression children","26","17","FALSE","fuzzy"
"10.1037/t81291-000","calling scale","calling","12","10","FALSE","core_exact"
"10.1037/t81812-000","behavioral inhibition questionnaire","behavioral inhibition","30","53","FALSE","core_exact"
"10.1037/t81933-000","activism orientation scale","activism orientation","35","15","FALSE","core_exact"
"10.1037/t85130-000","headache-specific locus of control scale","headache specific locus of control","33","18","FALSE","core_exact"
"10.1037/t85906-000","servqual instrument--adapted version","servqual","20","0","FALSE","exact"
