"DOI","Name","semanticnet_scale","n_items","usage_count","match_type","covered_synthnet","covered_hunt"
"10.1037/t02083-000","children's impact of traumatic events scale b-revised","children's impact of traumatic events",78,8,"fuzzy",FALSE,FALSE
"10.1037/t02161-000","almost perfect scale-revised","almost perfect",23,196,"core_exact",FALSE,FALSE
"10.1037/t02162-000","allophilia scale","allophilia",17,24,"core_exact",TRUE,FALSE
"10.1037/t02335-000","marital adjustment test","marital adjustment",13,333,"core_exact",FALSE,FALSE
"10.1037/t02384-000","negative affectivity scale","negative affectivity",21,27,"core_exact",TRUE,FALSE
"10.1037/t02399-000","inventory of socially supportive behaviors","socially supportive behaviors",40,115,"fuzzy",TRUE,FALSE
"10.1037/t02423-000","parent attribution test","parent attribution test - revised",27,17,"core_exact",FALSE,FALSE
"10.1037/t02454-000","peer nomination inventory of depression","peer nomination - depression",12,1,"fuzzy",TRUE,FALSE
"10.1037/t02578-000","severity of violence against men scale","severity of violence against men",46,8,"core_exact",FALSE,FALSE
"10.1037/t02579-000","severity of violence against women scale","severity of violence against women",46,125,"core_exact",FALSE,FALSE
"10.1037/t02624-000","brief betrayal-trauma survey","betrayal trauma",12,112,"core_exact",TRUE,FALSE
"10.1037/t02639-000","need for touch scale-short version","need for touch",14,1,"core_exact",FALSE,FALSE
"10.1037/t02749-000","acceptance of modern myths about sexual aggression","acceptance of modern myths about sexual aggression",30,11,"exact",TRUE,FALSE
"10.1037/t02783-000","women's experiences with battering scale","women’s experiences with battering",10,13,"core_exact",FALSE,FALSE
"10.1037/t02889-000","perceived stress scale","perceived stress",14,6494,"core_exact",FALSE,FALSE
"10.1037/t03125-000","scale of positive and negative experience","positive and negative experience",12,180,"fuzzy",TRUE,FALSE
"10.1037/t03126-000","flourishing scale","flourishing",8,346,"core_exact",TRUE,FALSE
"10.1037/t03127-000","new ecological paradigm scale","new ecological paradigm",16,166,"core_exact",TRUE,FALSE
"10.1037/t03171-000","compensatory health beliefs scale","compensatory health belief",17,12,"fuzzy",TRUE,FALSE
"10.1037/t03210-000","inventory of parent and peer attachment-revised","parent and peer attachment",53,53,"fuzzy",TRUE,FALSE
"10.1037/t03319-000","yale food addiction scale","yale food addiction",25,234,"core_exact",TRUE,FALSE
"10.1037/t03332-000","negative self-portrayal scale","negative self-portrayal",26,17,"core_exact",TRUE,FALSE
"10.1037/t03345-000","food preoccupation questionnaire","food preoccupation",26,7,"core_exact",TRUE,FALSE
"10.1037/t03470-000","ocd family functioning scale","ocd family functioning",42,10,"core_exact",TRUE,FALSE
"10.1037/t03500-000","family almost perfect scale","family almost perfect",17,9,"core_exact",TRUE,FALSE
"10.1037/t03589-000","hospital anxiety and depression scale","hospital anxiety and depression",14,12134,"core_exact",FALSE,FALSE
"10.1037/t03607-000","social desirability scale-17","social desirability",20,102,"core_exact",TRUE,FALSE
"10.1037/t03629-000","herth hope scale","herth hope",30,43,"core_exact",TRUE,FALSE
"10.1037/t03674-000","self-injurious thoughts and behaviors interview","self-injurious thoughts and behaviors",166,251,"core_exact",FALSE,FALSE
"10.1037/t03755-000","indecisiveness scale","indecisiveness",20,52,"core_exact",TRUE,FALSE
"10.1037/t03897-000","vancouver index of acculturation","vancouver acculturation",20,179,"fuzzy",TRUE,FALSE
"10.1037/t03936-000","marijuana ladder","marijuana ladder",10,6,"exact",TRUE,FALSE
"10.1037/t04019-000","alcoholics anonymous involvement scale","alcoholics anonymous involvement",13,28,"core_exact",TRUE,FALSE
"10.1037/t04027-000","sexual compulsivity scale","sexual compulsivity",10,219,"core_exact",FALSE,FALSE
"10.1037/t04065-000","sensation seeking scale, form v","sensation seeking",34,171,"core_exact",TRUE,FALSE
"10.1037/t04095-000","self-rating depression scale","zung self-rating depression",20,933,"core_exact",TRUE,FALSE
"10.1037/t04111-000","montgomery-asberg depression rating scale","montgomery-asberg depression",10,7238,"core_exact",FALSE,TRUE
"10.1037/t04259-000","mindful attention awareness scale","mindful attention awareness",15,1121,"core_exact",TRUE,FALSE
"10.1037/t04261-000","personal growth initiative scale","personal growth initiative",9,0,"core_exact",TRUE,FALSE
"10.1037/t04263-000","silver lining questionnaire","silver lining",38,11,"core_exact",TRUE,FALSE
"10.1037/t04289-000","machismo scale","machismo",20,9,"core_exact",TRUE,FALSE
"10.1037/t04305-000","geriatric hopelessness scale","geriatric hopelessness",30,10,"core_exact",TRUE,FALSE
"10.1037/t04509-000","desirability of control scale","desirability of control",20,43,"core_exact",TRUE,FALSE
"10.1037/t04569-000","relational-interdependent self-construal scale","relational-interdependent self-construal",11,92,"core_exact",TRUE,FALSE
"10.1037/t04703-000","regret scale","regret",5,40,"core_exact",TRUE,FALSE
"10.1037/t04710-000","trauma screening questionnaire","trauma screening",10,167,"core_exact",TRUE,FALSE
"10.1037/t04751-000","daily stress inventory","daily stress",59,97,"core_exact",FALSE,FALSE
"10.1037/t04754-000","positive and negative affect schedule--expanded version","positive and negative affect",56,233,"core_exact",TRUE,FALSE
"10.1037/t04867-000","spheres of control scale","spheres of control",30,27,"core_exact",TRUE,FALSE
"10.1037/t04889-000","trait emotional intelligence questionnaire","trait emotional intelligence",30,183,"core_exact",FALSE,FALSE
"10.1037/t04905-000","attitudes toward women scale for adolescents","attitudes toward women - adolescents",12,30,"fuzzy",FALSE,FALSE
"10.1037/t04973-000","davidson trauma scale","davidson trauma",17,445,"core_exact",FALSE,TRUE
"10.1037/t04993-000","hare psychopathy checklist-revised","hare psychopathy",20,405,"core_exact",FALSE,FALSE
"10.1037/t05056-000","positive and negative syndrome scale","positive and negative syndrome",30,13316,"core_exact",FALSE,TRUE
"10.1037/t05157-000","short sadistic impulse scale","sadistic impulse",10,52,"core_exact",TRUE,FALSE
"10.1037/t05186-000","trauma symptom checklist-40","trauma symptom",40,149,"core_exact",FALSE,FALSE
"10.1037/t05400-000","coping measure","coping",6,15,"core_exact",FALSE,FALSE
"10.1037/t05403-000","physical activity and sport anxiety scale","physical activity and sport anxiety",16,5,"core_exact",TRUE,FALSE
"10.1037/t05421-000","revised sexual experiences survey","sexual experiences",18,47,"core_exact",TRUE,FALSE
"10.1037/t05515-000","toronto mindfulness scale","toronto mindfulness",15,191,"core_exact",FALSE,FALSE
"10.1037/t05661-000","barratt impulsiveness scale-11","barratt impulsiveness",30,1340,"core_exact",TRUE,FALSE
"10.1037/t05729-000","intellectual achievement responsibility scale","intellectual achievement responsibility",104,4,"core_exact",FALSE,FALSE
"10.1037/t05778-000","strain-free negative affectivity scale","strain free negative affectivity",26,5,"core_exact",TRUE,FALSE
"10.1037/t05810-000","computer anxiety scale","computer anxiety",19,37,"core_exact",TRUE,FALSE
"10.1037/t05854-000","social and emotional loneliness scale for adults","social and emotional loneliness",11,46,"core_exact",TRUE,FALSE
"10.1037/t05973-000","sex role survey","sex role",43,0,"core_exact",FALSE,FALSE
"10.1037/t06050-000","job involvement scale","job involvement",20,0,"core_exact",TRUE,FALSE
"10.1037/t06078-000","fear of crime measure","fear of crime",4,0,"core_exact",FALSE,FALSE
"10.1037/t06142-000","affect intensity measure","affect intensity",50,170,"core_exact",TRUE,FALSE
"10.1037/t06160-000","self-report altruism scale","self-report altruism",20,122,"core_exact",FALSE,FALSE
"10.1037/t06161-000","pregnancy experience scale","pregnancy experience",41,16,"core_exact",TRUE,FALSE
"10.1037/t06168-000","patient health questionnaire-4","patient health",4,544,"core_exact",TRUE,FALSE
"10.1037/t06207-000","interpersonal support evaluation list","interpersonal support evaluation",40,626,"fuzzy",FALSE,TRUE
"10.1037/t06213-000","social provisions scale","social provisions",24,570,"core_exact",FALSE,TRUE
"10.1037/t06259-000","brief mood introspection scale","mood introspection",16,194,"core_exact",TRUE,FALSE
"10.1037/t06346-000","connor-davidson resilience scale","connor-davidson resilience",25,935,"core_exact",FALSE,TRUE
"10.1037/t06406-000","male role norms scale","male role norms",30,81,"core_exact",TRUE,FALSE
"10.1037/t06463-000","emotion regulation questionnaire","emotion_regulation_questionnaire",10,1569,"exact",FALSE,TRUE
"10.1037/t06514-000","life satisfaction rating scales","life satisfaction",6,4,"core_exact",TRUE,FALSE
"10.1037/t06617-000","cohen-hoberman inventory of physical symptoms","cohen-hoberman physical symptoms",33,81,"fuzzy",FALSE,FALSE
"10.1037/t06631-000","trauma symptom checklist for children","trauma symptom children",54,500,"fuzzy",FALSE,FALSE
"10.1037/t06664-000","acceptance of interpersonal violence scale","acceptance of interpersonal violence",6,31,"core_exact",TRUE,FALSE
"10.1037/t06852-000","emotional empathy questionnaire","emotional empathy",33,12,"core_exact",FALSE,FALSE
"10.1037/t06960-000","self-esteem scale","self esteem",13,0,"core_exact",FALSE,FALSE
"10.1037/t07010-000","homophobia scale","homophobia",25,0,"core_exact",FALSE,FALSE
"10.1037/t07016-000","ten-item personality inventory","ten item personality",10,981,"core_exact",TRUE,FALSE
"10.1037/t07081-000","epworth sleepiness scale","epworth sleepiness",9,4041,"core_exact",FALSE,TRUE
"10.1037/t07225-000","survey of recent life experiences","recent life experiences",41,0,"fuzzy",FALSE,FALSE
"10.1037/t07327-000","alabama parenting questionnaire--short form","alabama parenting s",9,43,"fuzzy",TRUE,FALSE
"10.1037/t07365-000","student university match scale","student university match",18,0,"core_exact",TRUE,FALSE
"10.1037/t07367-000","perception of parental reciprocity scale","perception of parental reciprocity",38,14,"core_exact",TRUE,FALSE
"10.1037/t07368-000","perception of spousal reciprocity scale","perception of spousal reciprocity",18,1,"core_exact",TRUE,FALSE
"10.1037/t07456-000","support for lesbian and gay human rights scale","support for lesbian and gay human rights",25,7,"core_exact",FALSE,FALSE
"10.1037/t07492-000","screen for posttraumatic stress symptoms","screen for posttraumatic stress symptoms",17,32,"exact",TRUE,FALSE
"10.1037/t07556-000","self-statements during public speaking scale","self-statement during public speaking",10,33,"fuzzy",TRUE,FALSE
"10.1037/t07688-000","risk taking index","risk taking",5,0,"core_exact",FALSE,FALSE
"10.1037/t07728-000","body esteem scale","body esteem",28,0,"core_exact",FALSE,FALSE
"10.1037/t07809-000","social physique anxiety scale","social physique anxiety",12,185,"core_exact",FALSE,FALSE
"10.1037/t07937-000","religious support scale","religious support",21,35,"core_exact",FALSE,FALSE
"10.1037/t07987-000","emotional contagion scale","emotional contagion",14,92,"core_exact",FALSE,FALSE
"10.1037/t08203-000","marks fear questionnaire","fear",24,0,"core_exact",TRUE,FALSE
"10.1037/t08347-000","maudsley obsessional-compulsive inventory","maudsley obsessional-compulsive inventory",30,124,"exact",TRUE,FALSE
"10.1037/t08351-000","responsibility interpretations questionnaire","responsibility interpretations riq",22,23,"fuzzy",TRUE,FALSE
"10.1037/t08399-000","general decision-making scale","general decision making style",25,9,"core_exact",TRUE,FALSE
"10.1037/t08473-000","masculine and feminine self-disklosure scale","masculine and feminine self-disclosure",41,0,"fuzzy",FALSE,FALSE
"10.1037/t08519-000","rimon's brief depression scale","rimon's brief depression",8,5,"core_exact",TRUE,FALSE
"10.1037/t08654-000","measure of attachment qualities","attachment qualities",14,20,"fuzzy",TRUE,FALSE
"10.1037/t08962-000","clinician-administered ptsd scale for children and adolescents","clinician-administered ptsd",30,115,"core_exact",FALSE,FALSE
"10.1037/t09194-000","work-family enrichment scale","work-family enrichment",18,59,"core_exact",TRUE,FALSE
"10.1037/t09290-000","interaction anxiousness scale","interaction anxiousness",15,88,"core_exact",FALSE,FALSE
"10.1037/t09325-000","conscientiousness scale","conscientiousness",10,128,"core_exact",TRUE,FALSE
"10.1037/t09367-000","acceptance of stereotyping questionnaire","acceptance of stereotyping",12,6,"core_exact",TRUE,FALSE
"10.1037/t09484-000","hypersensitive narcissism scale","hypersensitive narcissism",10,199,"core_exact",TRUE,FALSE
"10.1037/t09556-000","curiosity and exploration inventory--ii","curiosity and exploration",10,58,"core_exact",TRUE,FALSE
"10.1037/t09593-000","need to evaluate scale","need to evaluate",18,32,"core_exact",TRUE,FALSE
"10.1037/t09716-000","childhood trauma questionnaire--short form","childhood trauma",19,656,"core_exact",TRUE,FALSE
"10.1037/t09751-000","positive generalization scale","positive generalization",16,1,"core_exact",TRUE,FALSE
"10.1037/t09862-000","empathy index","empathy",16,0,"core_exact",TRUE,FALSE
"10.1037/t09922-000","anxiety scale","anxiety",10,0,"core_exact",TRUE,FALSE
"10.1037/t09943-000","audience anxiousness scale","audience anxiousness",12,13,"core_exact",TRUE,FALSE
"10.1037/t10022-000","connectedness to nature scale","connectedness to nature",14,105,"core_exact",TRUE,FALSE
"10.1037/t10027-000","cope inventory","cope inventory",60,562,"exact",FALSE,FALSE
"10.1037/t10148-000","following affective states test","following affective states",16,9,"core_exact",TRUE,FALSE
"10.1037/t10199-000","obsessive-compulsive inventory","obsessive-compulsive inventory",42,209,"exact",FALSE,FALSE
"10.1037/t10208-000","procrastination scale","procrastination",15,55,"core_exact",TRUE,FALSE
"10.1037/t10309-000","social avoidance and distress scale","social avoidance and distress",28,256,"core_exact",TRUE,FALSE
"10.1037/t10343-000","general procrastination scale","general procrastination",20,0,"core_exact",TRUE,FALSE
"10.1037/t10350-000","anxiety sensitivity index--revised","anxiety sensitivity index-revised",36,86,"exact",TRUE,FALSE
"10.1037/t10499-000","pure procrastination scale","pure procrastination",12,29,"core_exact",TRUE,FALSE
"10.1037/t10703-000","student worry questionnaire-30","student worry",30,1,"core_exact",FALSE,FALSE
"10.1037/t10721-000","anxiety sensitivity profile","anxiety sensitivity profile",60,19,"exact",TRUE,FALSE
"10.1037/t10761-000","brief edinburgh depression scale","edinburgh depression",6,11,"core_exact",TRUE,FALSE
"10.1037/t10829-000","modified affect balance scale","affect balance",10,0,"core_exact",TRUE,FALSE
"10.1037/t10954-000","levels of self-criticism scale","levels of self-criticism",22,36,"core_exact",TRUE,FALSE
"10.1037/t11093-000","misanthropy scale","misanthropy",4,0,"core_exact",TRUE,FALSE
"10.1037/t11289-000","core self-evaluations scale","core self-evaluations",12,224,"core_exact",FALSE,FALSE
"10.1037/t11424-000","passionate love scale--short version","passionate love",15,0,"core_exact",TRUE,FALSE
"10.1037/t11661-000","self-control scale","brief_self_control_survey",13,0,"core_exact",TRUE,FALSE
"10.1037/t11782-000","pain coping measure","pain assessment - coping",10,0,"core_exact",TRUE,FALSE
"10.1037/t11789-000","deferment of gratification measure","deferment_of_gratification_scale",12,0,"core_exact",TRUE,FALSE
"10.1037/t11872-000","student-teacher relationship scale","student teacher relationship",34,456,"core_exact",FALSE,TRUE
"10.1037/t11887-000","saving inventory-revised","saving inventory revised",23,271,"exact",TRUE,FALSE
"10.1037/t11904-000","dysfunctional beliefs and attitudes about sleep scale","dysfunctional beliefs and attitudes about sleep2",30,166,"fuzzy",TRUE,FALSE
"10.1037/t12062-000","blushing propensity scale","blushing propensity",14,23,"core_exact",TRUE,FALSE
"10.1037/t12263-000","eating behavior assessment","eating behavior",11,6,"core_exact",TRUE,FALSE
"10.1037/t12351-000","job satisfaction scale","job satisfaction",8,0,"core_exact",FALSE,FALSE
"10.1037/t12437-000","sensitivity to put-down scale","sensitivity to put-down",20,2,"core_exact",TRUE,FALSE
"10.1037/t12560-000","fibrofatigue scale","fibrofatigue",11,6,"core_exact",TRUE,FALSE
"10.1037/t12830-000","intolerance of uncertainty scale--short version","intolerance of uncertainty s",12,43,"fuzzy",TRUE,FALSE
"10.1037/t12957-000","private self-consciousness measure","private self-consciousness",10,0,"core_exact",TRUE,FALSE
"10.1037/t12972-000","internet self-efficacy measure","internet self efficacy",8,0,"core_exact",TRUE,FALSE
"10.1037/t13018-000","cognitive avoidance questionnaire--english version","cognitive avoidance",25,3,"core_exact",TRUE,FALSE
"10.1037/t13048-000","symptom-sign inventory","symptom-sign inventory",10,0,"exact",FALSE,FALSE
"10.1037/t13195-000","social attraction measure","social attraction",6,0,"core_exact",TRUE,FALSE
"10.1037/t13434-000","other as shamer scale","other as shamer",16,90,"core_exact",TRUE,FALSE
"10.1037/t13498-000","distress tolerance scale","distress tolerance",16,512,"core_exact",FALSE,TRUE
"10.1037/t13912-000","repetitive thinking questionnaire","repetitive thinking",31,34,"core_exact",TRUE,FALSE
"10.1037/t14339-000","multiple sclerosis self-management scale-revised","multiple sclerosis self-management",24,0,"core_exact",TRUE,FALSE
"10.1037/t14348-000","attentional resource allocation scale","attentional resource allocation",15,2,"core_exact",TRUE,FALSE
"10.1037/t14351-000","illness/injury sensitivity index--revised","illness/injury sensitivity",9,13,"core_exact",TRUE,FALSE
"10.1037/t14461-000","death depression scale","death depression",17,15,"core_exact",FALSE,FALSE
"10.1037/t14484-000","trust in management measure","trust in management",5,0,"core_exact",TRUE,FALSE
"10.1037/t14647-000","functional behavior profile","functional behavior profile",27,9,"exact",TRUE,FALSE
"10.1037/t14663-000","bochumer bindungsfragebogen","experiences in close relationships",36,0,"exact",TRUE,FALSE
"10.1037/t14666-000","mating-effort scale--male version","mating effort - female",9,0,"fuzzy",TRUE,FALSE
"10.1037/t14823-000","problem recognition questionnaire","problem recognition",25,11,"core_exact",TRUE,FALSE
"10.1037/t15085-000","eating inventory","three_factor_eating_questionnaire",18,112,"exact",FALSE,FALSE
"10.1037/t15197-000","short mood and feelings questionnaire","short mood and feelings",13,529,"core_exact",FALSE,TRUE
"10.1037/t15230-000","negative body talk scale","negative body talk",13,15,"core_exact",FALSE,FALSE
"10.1037/t15283-000","autism parenting stress index","autism parenting stress",13,23,"core_exact",TRUE,FALSE
"10.1037/t15504-000","body awareness questionnaire","body awareness",18,54,"core_exact",FALSE,FALSE
"10.1037/t15693-000","perceived family burden scale","perceived family burden",24,15,"core_exact",TRUE,FALSE
"10.1037/t16008-000","marital satisfaction measure","marital satisfaction",8,0,"core_exact",FALSE,FALSE
"10.1037/t16493-000","impression management survey","impression-management",20,0,"core_exact",FALSE,FALSE
"10.1037/t16764-000","romanticism scale","romanticism",9,0,"core_exact",TRUE,FALSE
"10.1037/t16889-000","adolescent femininity ideology scale","adolescent femininity ideology",20,14,"core_exact",FALSE,FALSE
"10.1037/t16893-000","romantic partner conflict scale","romantic partner conflict",39,13,"core_exact",TRUE,FALSE
"10.1037/t17162-000","psychological aggression scale","psychological aggression",10,30,"core_exact",TRUE,FALSE
"10.1037/t17165-000","alcohol ladder","alcohol ladder",10,4,"exact",TRUE,FALSE
"10.1037/t17438-000","imagination questionnaire","imagination",10,1,"core_exact",FALSE,FALSE
"10.1037/t17492-000","nicotine dependence measure","nicotine dependence",8,0,"core_exact",TRUE,FALSE
"10.1037/t17818-000","team emergency assessment measure","team emergency assessment",11,3,"core_exact",TRUE,FALSE
"10.1037/t18179-000","leadership questionnaire","leadership",10,0,"core_exact",TRUE,FALSE
"10.1037/t18293-000","cultural estrangement inventory--adapted","cultural estrangement",10,0,"core_exact",FALSE,FALSE
"10.1037/t18639-000","personal evaluation inventory","personal evaluation",54,6,"core_exact",TRUE,FALSE
"10.1037/t18894-000","ambiguity tolerance scale","ambiguity tolerance",21,11,"core_exact",TRUE,FALSE
"10.1037/t19334-000","hiv stigma scale","hiv stigma",40,223,"core_exact",FALSE,FALSE
"10.1037/t19585-000","negative affect measure","negative affect",5,0,"core_exact",FALSE,FALSE
"10.1037/t19754-000","attitudes toward mental illness survey","attitudes towards mental illness",39,0,"fuzzy",FALSE,FALSE
"10.1037/t19807-000","work motivation measure","work motivation",19,0,"core_exact",FALSE,FALSE
"10.1037/t20283-000","impulsive-premeditated aggression scales","impulsive/premeditated aggression",26,17,"core_exact",TRUE,FALSE
"10.1037/t20305-000","parent threat inventory","parent threat inventory",17,3,"exact",TRUE,FALSE
"10.1037/t20639-000","social support inventory","social support inventory",20,73,"exact",FALSE,FALSE
"10.1037/t20686-000","philadelphia mindfulness scale","philadelphia mindfulness",20,143,"core_exact",TRUE,FALSE
"10.1037/t20693-000","sexual abuse questionnaire","sexual abuse",7,24,"core_exact",FALSE,FALSE
"10.1037/t20877-000","internal locus of control scale","internal locus of control",3,24,"core_exact",TRUE,FALSE
"10.1037/t20915-000","cognitive-somatic anxiety questionnaire","cognitive-somatic anxiety",14,23,"core_exact",FALSE,FALSE
"10.1037/t21011-000","acceptance of cosmetic surgery scale","acceptance of cosmetic surgery",15,54,"core_exact",TRUE,FALSE
"10.1037/t21023-000","neuroticism scale","neuroticism",10,190,"core_exact",TRUE,FALSE
"10.1037/t22284-000","psychological abuse scale","psychological abuse",15,17,"core_exact",TRUE,FALSE
"10.1037/t23360-000","reading motivation scale","reading motivation",21,9,"core_exact",TRUE,FALSE
"10.1037/t23406-000","trust in physician scale","trust in physician",11,89,"core_exact",TRUE,FALSE
"10.1037/t23552-000","satisfaction with physician measure","satisfaction with physician",3,0,"core_exact",TRUE,FALSE
"10.1037/t23559-000","preschool physical activity questionnaire","school physical activity",48,1,"fuzzy",TRUE,FALSE
"10.1037/t24110-000","organization-based self-esteem","organization-based self-esteem",10,15,"exact",TRUE,FALSE
"10.1037/t26112-000","occupational driver behavior questionnaire","occupational driver behavior",12,5,"core_exact",TRUE,FALSE
"10.1037/t26388-000","fear of happiness scale","fear of happiness",5,15,"core_exact",TRUE,FALSE
"10.1037/t26640-000","seasonal pattern assessment questionnaire","seasonal pattern",21,218,"core_exact",FALSE,FALSE
"10.1037/t26667-000","altruism scale","altruism",10,0,"core_exact",TRUE,FALSE
"10.1037/t26693-000","culture questionnaire--measure of individual perceptions and conceptions","culture",10,0,"core_exact",FALSE,FALSE
"10.1037/t27154-000","need to belong scale","need to belong",12,164,"core_exact",TRUE,FALSE
