"meta_instrument_name","DOI","mtype","covered_synthnet","covered_hunt","in_targets156","covered_semnet","n_items","covered","usage_count"
"The Connor-Davidson Resilience Scale","10.1037/t06346-000","core","FALSE","TRUE","TRUE","FALSE","25","TRUE","935"
"Three Factor Eating Questionnaire","10.1037/t02178-000","exact","FALSE","FALSE","TRUE","FALSE","18","FALSE","919"
"Multidimensional Scale of Perceived Social Support (MSPSS)","10.1037/t02380-000","exact","TRUE","FALSE","FALSE","FALSE","12","TRUE","847"
"Job Content Questionnaire","10.1037/t03609-000","exact","TRUE","FALSE","FALSE","FALSE","14","TRUE","845"
"Michigan Alcoholism Screening Test (MAST)","10.1037/t02357-000","exact","FALSE","TRUE","TRUE","FALSE","27","TRUE","783"
"Subjective Happiness Scale (SHS)","10.1037/t01588-000","exact","TRUE","FALSE","FALSE","FALSE","4","TRUE","761"
"Meaning in Life Questionnaire (MLQ)","10.1037/t01074-000","exact","TRUE","FALSE","FALSE","FALSE","10","TRUE","728"
"Childhood Trauma Questionnaire � Short Form","10.1037/t09716-000","exact","TRUE","FALSE","FALSE","FALSE","28","TRUE","656"
"ASI-3","10.1037/t00034-000","exact","TRUE","FALSE","FALSE","FALSE","17","TRUE","623"
"The Brief Resilience Scale","10.1037/t55271-000","core","FALSE","FALSE","TRUE","FALSE","6","FALSE","604"
"The Resilience Scale","10.1037/t55271-000","core","FALSE","FALSE","TRUE","FALSE","25","FALSE","604"
"Life Orientation Test-Revised (LOT-R)","10.1037/t09267-000","exact","TRUE","FALSE","FALSE","FALSE","10","TRUE","603"
"Revised Life Orientation Test (LOT-R)","10.1037/t09267-000","exact","TRUE","FALSE","FALSE","FALSE","10","TRUE","603"
"Patient Health Questionnaire-4 (PHQ-4)","10.1037/t06168-000","exact","TRUE","FALSE","FALSE","FALSE","4","TRUE","544"
"State-Trait Anxiety Inventory (State Anxiety only) (20-item) (STAI)","10.1037/t06497-000","exact","FALSE","FALSE","TRUE","FALSE","20","FALSE","520"
"EQ-5D-5L (5-item)","10.1037/t63848-000","exact","FALSE","TRUE","TRUE","FALSE","5","TRUE","486"
"Self-compassion Scale short form (SCS-SF)","10.1037/t10179-000","exact","TRUE","FALSE","FALSE","FALSE","12","TRUE","418"
"Antisocial Process Screening Device (20-item) (APSD)","10.1037/t00032-000","exact","TRUE","FALSE","FALSE","FALSE","20","TRUE","397"
"Snaith-Hamilton Pleasure Scale (SHAPS)","10.1037/t10760-000","exact","FALSE","FALSE","FALSE","FALSE","14","FALSE","379"
"Manchester Short Assessment of Quality of Life (MANSA)","10.1037/t10432-000","exact","TRUE","FALSE","FALSE","FALSE","16","TRUE","349"
"Zimbardo Time Perspective Inventory","10.1037/t01397-000","exact","TRUE","FALSE","FALSE","FALSE","56","TRUE","332"
"Zimbardo Time Perspective Scale","10.1037/t01397-000","core","TRUE","FALSE","FALSE","FALSE","13","TRUE","332"
"Gratitude Questionnaire (GQ-6)","10.1037/t01837-000","exact","TRUE","FALSE","FALSE","FALSE","6","TRUE","320"
"The Activities-Specific Balance Confidence Scale (ABC)","10.1037/t13026-000","core","FALSE","FALSE","FALSE","FALSE","16","FALSE","308"
"Oldenburg Burnout Inventory","10.1037/t01688-000","exact","TRUE","FALSE","FALSE","FALSE","16","TRUE","299"
"The Juvenile Victimization Questionnaire","10.1037/t01856-000","core","FALSE","FALSE","FALSE","FALSE","26","FALSE","297"
"Psychosis Screening Questionnaire (17-item) (PSQ)","10.1037/t30040-000","exact","FALSE","FALSE","FALSE","FALSE","16","FALSE","279"
"Psychosis Screening Questionnaire (PSQ)","10.1037/t30040-000","exact","FALSE","FALSE","FALSE","FALSE","25","FALSE","279"
"Primary Care PTSD Screen","10.1037/t04709-000","exact","FALSE","FALSE","FALSE","FALSE","9","FALSE","268"
"Professional Quality of Life Scale (Compassion Satisfaction and Compassion Fatigue Version)","10.1037/t05192-000","exact","TRUE","FALSE","FALSE","FALSE","30","TRUE","266"
"Subjective Vitality Scale (Individual Difference Level Version)","10.1037/t06466-000","exact","FALSE","FALSE","FALSE","FALSE","7","FALSE","262"
"Subjective Vitality Scale (State Level Version)","10.1037/t06466-000","exact","FALSE","FALSE","FALSE","FALSE","7","FALSE","262"
"The Copenhagen Burnout Inventory","10.1037/t62096-000","core","TRUE","FALSE","FALSE","FALSE","25","TRUE","224"
"Stages of Change Readiness and Treatment Eagerness Scale (SOCRATES)","10.1037/t00536-000","exact","TRUE","FALSE","FALSE","FALSE","38","TRUE","211"
"Consideration of Future Consequences Scale","10.1037/t00869-000","exact","TRUE","FALSE","FALSE","FALSE","14","TRUE","209"
"The Faces Pain Scale - Revised (FPS-R)","10.1037/t05331-000","core","FALSE","FALSE","FALSE","FALSE","1","FALSE","202"
"Life Stressor Checklist - Revised","10.1037/t04534-000","exact","TRUE","FALSE","FALSE","FALSE","33","TRUE","200"
"Stressful Life Events Screening Questionnaire (SLESQ)","10.1037/t07466-000","exact","FALSE","FALSE","FALSE","FALSE","13","FALSE","200"
"Cognitive and Affective Mindfulness Scale – Revised (CAMS-R)","10.1037/t49653-000","exact","FALSE","FALSE","FALSE","TRUE","12","TRUE","181"
"Trauma Screening Questionnaire (TSQ)","10.1037/t04710-000","exact","TRUE","FALSE","FALSE","FALSE","12","TRUE","167"
"Substance Use Risk Profile Scale (23-item) (SURPS)","10.1037/t17202-000","exact","TRUE","FALSE","FALSE","FALSE","23","TRUE","161"
"The Effort-Reward Imbalance Questionnaire (ERI)","10.1037/t05188-000","core","FALSE","FALSE","FALSE","FALSE","16","FALSE","158"
"Medical Outcomes Study-Sleep Scale","10.1037/t32746-000","exact","FALSE","FALSE","FALSE","FALSE","12","FALSE","157"
"Acute Stress Disorder Scale","10.1037/t00644-000","exact","TRUE","FALSE","FALSE","FALSE","20","TRUE","153"
"The Resilience Scale for Adults","10.1037/t07443-000","core","FALSE","FALSE","FALSE","FALSE","33","FALSE","153"
"Future Time Perspective Scale (FTPS)","10.1037/t31314-000","exact","TRUE","FALSE","FALSE","FALSE","8","TRUE","148"
"Grit Scale","10.1037/t07051-000","exact","TRUE","FALSE","FALSE","FALSE","8","TRUE","144"
"The Stanford Acute Stress Reaction Questionnaire","10.1037/t07465-000","core","FALSE","FALSE","FALSE","FALSE","20","FALSE","117"
"Adverse Childhood Experiences Study Questionnaire","10.1037/t26957-000","exact","TRUE","FALSE","FALSE","FALSE","17","TRUE","113"
"Multidimensional Assessment of Interoceptive Awareness (MAIA)","10.1037/t45826-000","exact","TRUE","FALSE","FALSE","FALSE","37","TRUE","113"
"Zarit Caregiver Burden Scale � short form","10.1037/t41877-000","core","FALSE","FALSE","FALSE","FALSE","12","FALSE","103"
"Brief Trauma Questionnaire","10.1037/t07488-000","exact","FALSE","FALSE","FALSE","FALSE","11","FALSE","97"
"Daily Stress Inventory","10.1037/t04751-000","exact","FALSE","FALSE","FALSE","TRUE","58","TRUE","97"
"Brief Self-Control Survey","10.1037/t06131-000","core","FALSE","FALSE","FALSE","FALSE","13","FALSE","90"
"Health of the Nation Outcome Scales (11-item) (HoNOS)","10.1037/t18350-000","exact","FALSE","FALSE","FALSE","FALSE","20","FALSE","86"
"Sibling Relationship Questionnaire (13-item)(SRQ)","10.1037/t06793-000","exact","FALSE","FALSE","FALSE","FALSE","15","FALSE","80"
"Risky Families Scale","10.1037/t03616-000","core","FALSE","FALSE","FALSE","FALSE","13","FALSE","70"
"Meaning in Life Scale","10.1037/t58713-000","exact","TRUE","FALSE","FALSE","FALSE","7","TRUE","63"
"Brief Religious Coping (RCOPE)","10.1037/t82606-000","core","FALSE","FALSE","FALSE","FALSE","14","FALSE","59"
"Evaluation Index","10.1037/t16417-000","core","TRUE","FALSE","FALSE","FALSE","2","TRUE","57"
"Relationships Scale","10.1037/t15682-000","core","FALSE","FALSE","FALSE","FALSE","7","FALSE","50"
"The Psychological Inflexibility in Pain Scale (PIPS)","10.1037/t23288-000","core","FALSE","FALSE","FALSE","FALSE","12","FALSE","47"
"Cardiac Anxiety Questionnaire (CAQ)","10.1037/t12109-000","exact","TRUE","FALSE","FALSE","FALSE","18","TRUE","46"
"Revised Prenatal Distress Questionnaire","10.1037/t71228-000","core","TRUE","FALSE","FALSE","FALSE","18","TRUE","41"
"Pediatric Quality of Life Enjoyment and Satisfaction Questionnaire (PQ-LES-Q)","10.1037/t75388-000","exact","TRUE","FALSE","FALSE","FALSE","15","TRUE","39"
"Pregnancy Related Anxiety-Scale","10.1037/t83680-000","exact","TRUE","FALSE","FALSE","FALSE","10","TRUE","39"
"Central Sensitization Inventory (CSI)","10.1037/t25488-000","exact","TRUE","FALSE","FALSE","FALSE","25","TRUE","36"
"International Personality Item Pool (IPIP) NEO","10.1037/t34102-000","exact","TRUE","FALSE","FALSE","FALSE","300","TRUE","35"
"Perceived Wellness Survey (PWS)","10.1037/t01771-000","exact","TRUE","FALSE","FALSE","FALSE","36","TRUE","26"
"Adolescent Psychotic-like Symptom Screener (APSS) (adapted)","10.1037/t30069-000","exact","FALSE","FALSE","FALSE","FALSE","21","FALSE","20"
"Fagerstrom Test for Nicotine Dependence","10.1037/t17486-000","exact","TRUE","FALSE","FALSE","FALSE","18","TRUE","18"
"Fagerstrom Test for Nicotine Dependence (FTND)","10.1037/t17486-000","exact","TRUE","FALSE","FALSE","FALSE","7","TRUE","18"
"UPPS-P Impulsive Behavior Scale","10.1037/t46271-000","exact","FALSE","FALSE","FALSE","FALSE","58","FALSE","18"
"Drug Abuse Screening Test (DAST)","10.1037/t11566-000","exact","TRUE","FALSE","FALSE","FALSE","28","TRUE","16"
"Opening Minds for Health Care Providers (OMS-HC-15)","10.1037/t38593-000","core","TRUE","FALSE","FALSE","FALSE","15","TRUE","16"
"Stress Overload Scale","10.1037/t39952-000","exact","TRUE","FALSE","FALSE","FALSE","24","TRUE","16"
"Control, Autonomy, Self- realization, Pleasure (CASP- 19)","10.1037/t38453-000","core","TRUE","FALSE","FALSE","FALSE","19","TRUE","13"
"Psychological Well Being Scale","10.1037/t53925-000","exact","FALSE","FALSE","FALSE","FALSE","12","FALSE","12"
"Work Environment Index","10.1037/t16617-000","core","FALSE","FALSE","FALSE","FALSE","4","FALSE","12"
"Brief COPE","10.1037/t17177-000","exact","FALSE","FALSE","FALSE","FALSE","28","FALSE","11"
"Depression Scale","10.1037/t17319-000","exact","FALSE","FALSE","FALSE","FALSE","20","FALSE","11"
"Pain Treatment Satisfaction Scale (POQ)","10.1037/t15795-000","exact","FALSE","FALSE","FALSE","FALSE","5","FALSE","11"
"Revised Prenatal Coping Inventory","10.1037/t74462-000","exact","TRUE","FALSE","FALSE","FALSE","43","TRUE","10"
"Roland-Morris Disability Questionnaire (RDQ)","10.1037/t18260-000","exact","FALSE","FALSE","FALSE","FALSE","24","FALSE","10"
"Bergen Burnout Inventory","10.1037/t09121-000","exact","TRUE","FALSE","FALSE","FALSE","9","TRUE","7"
"Multidimensional Inventory of Subjective Cognitive Impairment (MISCI)","10.1037/t48193-000","exact","TRUE","FALSE","FALSE","FALSE","10","TRUE","7"
"Physical Health Index","10.1037/t55930-000","exact","FALSE","FALSE","FALSE","FALSE","17","FALSE","7"
"SCOFF Questionnaire","10.1037/t14086-000","exact","TRUE","FALSE","FALSE","FALSE","5","TRUE","7"
"Coping Competence Questionnaire (CCQ)","10.1037/t16072-000","exact","TRUE","FALSE","FALSE","FALSE","12","TRUE","6"
"Overall Anxiety Severity and Impairment Scale (OASIS)","10.1037/t74212-000","exact","TRUE","FALSE","FALSE","FALSE","5","TRUE","6"
"Self-Regulation Questionnaire (SSRQ)","10.1037/t17605-000","exact","TRUE","FALSE","FALSE","FALSE","30","TRUE","6"
"Acceptance and Action Questionnaire – Substance Abuse (AAQ-SA)","10.1037/t78784-000","exact","TRUE","FALSE","FALSE","FALSE","18","TRUE","5"
"The General Self-Efficacy Scale (GSE)","10.1037/t69316-000","core","FALSE","FALSE","FALSE","FALSE","10","FALSE","5"
"Brief Assessment of Recovery Capital (BARC-10)","10.1037/t65121-000","exact","TRUE","FALSE","FALSE","FALSE","10","TRUE","4"
"Climate Change Anxiety Scale","10.1037/t79337-000","exact","TRUE","FALSE","FALSE","FALSE","13","TRUE","4"
"Trauma History Questionnaire","10.1037/t53691-000","exact","FALSE","FALSE","FALSE","FALSE","24","FALSE","4"
"Measure of Sickle Cell Stigma (MoSCS)","10.1037/t52615-000","exact","TRUE","FALSE","FALSE","FALSE","11","TRUE","3"
"Multidimensional Neglectful Behavior Scale","10.1037/t20630-000","exact","FALSE","FALSE","FALSE","FALSE","15","FALSE","3"
"Short Leyton Obsessional Inventory - Child Version (SLOI-SV)","10.1037/t08001-000","exact","TRUE","FALSE","FALSE","FALSE","11","TRUE","3"
"Alcohol Use Disorder Identification Test (10-item) (AUDIT)","10.1037/t70769-000","exact","FALSE","FALSE","FALSE","FALSE","11","FALSE","2"
"Alcohol Use Disorder Identification Test (AUDIT) (6-items)","10.1037/t70769-000","exact","FALSE","FALSE","FALSE","FALSE","7","FALSE","2"
"Mood And Feelings Questionnaire (34-item)(MFQ)","10.1037/t70340-000","exact","TRUE","FALSE","FALSE","FALSE","34","TRUE","2"
"Mood and Feelings Questionnaire (13-item) (MFQ) (Short version)","10.1037/t70340-000","exact","TRUE","FALSE","FALSE","FALSE","13","TRUE","2"
"Mood and Feelings Questionnaire (MFQ)","10.1037/t70340-000","exact","TRUE","FALSE","FALSE","FALSE","33","TRUE","2"
"Parent Risk and Impact Screening Measure (PRISM)","10.1037/t84319-000","exact","FALSE","FALSE","FALSE","FALSE","13","FALSE","2"
"The Personal Wellbeing Index","10.1037/t32287-000","core","FALSE","FALSE","FALSE","FALSE","6","FALSE","2"
"Home Observation for Measurement of the Environment","10.1037/t86918-000","exact","TRUE","FALSE","FALSE","FALSE","45","TRUE","1"
"Maternal Antenatal Attachment Scale (17-items only) (MAAS)","10.1037/t57562-000","exact","FALSE","FALSE","FALSE","FALSE","17","FALSE","1"
"Short Warwick Edinburgh Mental Wellbeing Scale (7-item) (SWEMWBS)","10.1037/t87187-000","core","FALSE","FALSE","FALSE","FALSE","7","FALSE","1"
"Telehealth Usability Questionnaire (TUQ)","10.1037/t82462-000","exact","TRUE","FALSE","FALSE","FALSE","22","TRUE","1"
"Warwick Edinburgh Mental Wellbeing Scale (WEMWBS)","10.1037/t87187-000","exact","FALSE","FALSE","FALSE","FALSE","14","FALSE","1"
"Warwick–Edinburgh Mental Wellbeing Scale (14-item) (WEMWBS)","10.1037/t87187-000","exact","FALSE","FALSE","FALSE","FALSE","14","FALSE","1"
"Affect Balance Scale (ABS) (10-item)","10.1037/t10829-000","exact","TRUE","FALSE","FALSE","FALSE","10","TRUE","0"
"BIS/BAS Scale","10.1037/t82170-000","exact","TRUE","FALSE","FALSE","FALSE","24","TRUE","0"
"Child Eating Behaviour Questionnaire (31-item)(CEBQ)","10.1037/t86718-000","exact","TRUE","FALSE","FALSE","FALSE","32","TRUE","0"
"Collective Efficacy Scale","10.1037/t26824-000","exact","TRUE","FALSE","FALSE","FALSE","15","TRUE","0"
"Combat Exposure Scale","10.1037/t03749-000","exact","TRUE","FALSE","FALSE","FALSE","7","TRUE","0"
"Emotional Health Index","10.1037/t10013-000","core","TRUE","FALSE","FALSE","FALSE","11","TRUE","0"
"Generalized Self-Efficacy Scale","10.1037/t82099-000","exact","TRUE","FALSE","FALSE","FALSE","12","TRUE","0"
"HDQLIFE Concern with Death and Dying","10.1037/t65236-000","core","FALSE","FALSE","FALSE","FALSE","12","FALSE","0"
"International Physical Activity Questionnaire Long (IPAQL)","10.1037/t43250-000","exact","FALSE","FALSE","FALSE","FALSE","27","FALSE","0"
"PTSD Checklist for DSM-5 (PCL-5)","10.1037/t85909-000","exact","FALSE","FALSE","FALSE","FALSE","40","FALSE","0"
"Post Traumatic Growth Inventory (21-item)","10.1037/t46757-000","exact","TRUE","FALSE","FALSE","FALSE","21","TRUE","0"
"Social support and Pain Questionnaire (SPQ)","10.1037/t63510-000","exact","FALSE","FALSE","FALSE","FALSE","6","FALSE","0"
"Standardised Assessment of Personality Abbreviated Scale (8-item) (SAPAS)","10.1037/t07835-000","exact","FALSE","FALSE","FALSE","FALSE","8","FALSE","0"
"TBI-CareQOL Caregiver Vigilance","10.1037/t75610-000","exact","TRUE","FALSE","FALSE","FALSE","18","TRUE","0"
